ID,nameFirst,nameMiddle,nameLast,nameInitials,sex,language,phoneNumber,email,loginName,validFrom,validTo,currency_code,salaryAmount,accountNumber,bankId,bankName
02BD2137-0890-1EEA-A6C2-BB55C198C7FB,John,,Nicols,,M,E,,john.nicols@itelo.info,NICOLSJ,1/1/2000,12/31/9999,USD,61579,87654321,66665555,My Bank of London
02BD2137-0890-1EEA-A6C2-BB55C198E7FB,John,,Smith,,M,E,,john.smith@itelo.info,SMITHJO,1/1/2000,12/31/9999,USD,60350,98765432,66665555,My Bank of London
02BD2137-0890-1EEA-A6C2-BB55C19907FB,Joanne,,Rush,,F,E,,joanne.rush@itelo.info,RUSHJ,1/1/2000,12/31/9999,USD,70000,345678901,99999888,Deutsches Geldinstitut
02BD2137-0890-1EEA-A6C2-BB55C19927FB,Sue,,Bay,,F,E,+1 224 374 525,sue.bay@itelo.info,BAYSU,1/1/2000,12/31/9999,USD,98631,99887766,121000358,My Bank of San Francisco
02BD2137-0890-1EEA-A6C2-BB55C19947FB,James,Clark,Field,,M,E,+1 224 374 526,james.field@itelo.info,FIELDJ,1/1/2000,12/31/9999,USD,76395,32109876,66665555,My Bank of London
02BD2137-0890-1EEA-A6C2-BB55C19967FB,Hermann,,Hecker,,M,E,,hermann.hecker@itelo.info,HECKERH,1/1/2000,12/31/9999,USD,39874,123456789,99999888,Deutsches Geldinstitut
02BD2137-0890-1EEA-A6C2-BB55C19987FB,Rudolf,,Platte,,M,E,,rudolf.platte@itelo.info,PLATTER,1/1/2000,12/31/9999,USD,45983,234567890,99999888,Deutsches Geldinstitut
02BD2137-0890-1EEA-A6C2-BB55C199A7FB,Al,,Wallace,,M,E,,al.wallace@itelo.info,WALLACEA,1/1/2000,12/31/9999,USD,55426,1100998877,121000358,My Bank of San Francisco
02BD2137-0890-1EEA-A6C2-BB55C199C7FB,Jonathan,,East,,M,E,,jonathan.east@itelo.info,EASTJ,1/1/2000,12/31/9999,USD,55427,6655443322,121000358,My Bank of San Francisco
02BD2137-0890-1EEA-A6C2-BB55C199E7FB,James,,Smith,,M,E,,james.smith@itelo.info,SMITHJ,1/1/2000,12/31/9999,USD,38761,456789012,99999888,Deutsches Geldinstitut
02BD2137-0890-1EEA-A6C2-BB55C19A07FB,Megan,,Wang,,F,E,,megan.wang@itelo.info,WANGM,1/1/2000,12/31/9999,USD,57985,54321098,66665555,My Bank of London
02BD2137-0890-1EEA-A6C2-BB55C19A27FB,Anna,Marie,Lerch,,F,E,,anna.lerch@itelo.info,LERCHA,1/1/2000,12/31/9999,USD,58768,5566778899,26005885,My Bank of New York
02BD2137-0890-1EEA-A6C2-BB55C19A47FB,Clark,,Kent,,M,E,,clark.kent@itelo.info,KENTC,1/1/2000,12/31/9999,USD,57000,3344556677,26005885,My Bank of New York
02BD2137-0890-1EEA-A6C2-BB55C19A67FB,Catherine,,Jones,,F,E,,catherine.jones@itelo.info,JONESC,1/1/2000,12/31/9999,USD,59000,4455667788,26005885,My Bank of New York
02BD2137-0890-1EEA-A6C2-BB55C19A87FB,Peter,,Douglas,,M,E,,peter.douglas@itelo.info,DOUGLASP,1/1/2000,12/31/9999,USD,1500000,666777888,510000655,My Bank of Antioch
02BD2137-0890-1EEA-A6C2-BB55C19AA7FB,Frank,James,Brown,,M,E,,frank.brown@itelo.info,BROWNF,1/1/2000,12/31/9999,USD,53021,6677889900,26005885,My Bank of New York
02BD2137-0890-1EEA-A6C2-BB55C19AC7FB,Barbara,,Ingalls,,F,E,,barbara.ingalls@itelo.info,INGALLSB,1/1/2000,12/31/9999,USD,63443,4433221100,121000358,My Bank of San Francisco
02BD2137-0890-1EEA-A6C2-BB55C19AE7FB,Peter,Thomas,Fuchs,,M,E,,peter.fuchs@itelo.info,FUCHSP,1/1/2000,12/31/9999,USD,71344,65432109,66665555,My Bank of London
02BD2137-0890-1EEA-A6C2-BB55C19B07FB,Mary,,Watson,,F,E,,mary.watson@itelo.info,WATSONM,1/1/2000,12/31/9999,USD,64222,43210987,66665555,My Bank of London
02BD2137-0890-1EEA-A6C2-BB55C19B27FB,Karl,,Kessler,,M,E,,karl.kessler@itelo.info,KESSLERK,1/1/2000,12/31/9999,USD,97455,7788990011,26005885,My Bank of New York
02BD2137-0890-1EEA-A6C2-BB55C19B47FB,Nora,,Dwyer,,F,E,,nora.dwyer@itelo.info,DWYERN,1/1/2000,12/31/9999,USD,50000,0013M02606,10100,tablissement financier de Paris
02BD2137-0890-1EEA-A6C2-BB55C19B67FB,Drew,,Smith,,M,E,,smith.Drew@itelo.info,SMITHD,1/1/2000,12/31/9999,EUR,67234,567890123,99999888,Deutsches Geldinstitut
02BD2137-0890-1EEA-A6C2-BB55C19B87FB,Richard,Andrew,Fisher,,M,E,,fisher.richard@itelo.info,FISHERRI,1/1/2000,12/31/9999,EUR,67234,567890123,99999888,Deutsches Geldinstitut
